City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
141,Maldonado,UY,2022-02-01 18:58:26,-34.6667,-54.9167,76.39,32,0,5.53
142,Eydhafushi,MV,2022-02-01 18:58:38,5.1033,73.0708,82.81,75,5,17.29
143,Robertsport,LR,2022-02-01 18:58:39,6.7533,-11.3686,80.74,80,100,11.25
144,Bredasdorp,ZA,2022-02-01 18:52:06,-34.5322,20.0403,69.28,73,1,2.86
145,Mehamn,NO,2022-02-01 18:57:07,71.0357,27.8492,21.38,82,19,10.2
146,Jardim,BR,2022-02-01 18:54:25,-21.4803,-56.1381,92.07,37,73,7.38
147,Kaitangata,NZ,2022-02-01 18:58:40,-46.2817,169.8464,60.1,93,100,4.54
148,Dwarahat,IN,2022-02-01 18:58:41,29.7833,79.4333,39.25,57,0,3.67
149,Saint-Philippe,RE,2022-02-01 18:48:33,-21.3585,55.7679,80.15,93,89,21.85
150,Hamilton,US,2022-02-01 18:58:41,39.1834,-84.5333,56.62,45,100,8.39
151,Cross Lanes,US,2022-02-01 18:58:42,38.4204,-81.7907,56.41,50,100,6.15
152,Boyle,US,2022-02-01 18:58:42,37.6334,-84.8666,60.22,35,0,11.5
153,Geraldton,AU,2022-02-01 18:58:43,-28.7667,114.6,84.61,26,8,17.27
154,Cabo San Lucas,MX,2022-02-01 18:50:15,22.8909,-109.9124,80.51,59,0,1.99
155,Vardo,NO,2022-02-01 18:58:44,70.3705,31.1107,13.98,92,0,6.91
156,Norman Wells,CA,2022-02-01 18:55:46,65.282,-126.8329,-18.36,76,75,0.0
157,Fort Payne,US,2022-02-01 18:58:45,34.4442,-85.7197,60.42,36,0,7.0
158,Kungurtug,RU,2022-02-01 18:58:45,50.5994,97.5228,-18.24,99,68,1.81
159,Alekseyevka,RU,2022-02-01 18:58:46,50.6309,38.6903,16.21,98,53,6.69
160,Khani,GE,2022-02-01 18:58:46,41.9563,42.9566,36.97,78,95,8.81
161,Bandarbeyla,SO,2022-02-01 18:58:47,9.4942,50.8122,76.64,76,77,15.99
162,Luderitz,NA,2022-02-01 18:58:47,-26.6481,15.1594,66.06,85,47,9.06
163,Yellowknife,CA,2022-02-01 18:53:18,62.456,-114.3525,-21.59,73,0,11.5
164,Hachinohe,JP,2022-02-01 18:58:48,40.5,141.5,27.77,74,8,8.86
165,Bara,NG,2022-02-01 18:58:48,10.3744,10.7288,70.83,19,0,8.59
166,Zhigansk,RU,2022-02-01 18:58:49,66.7697,123.3711,-28.75,99,94,9.44
167,Semirom,IR,2022-02-01 18:55:43,31.4167,51.5667,21.7,97,95,0.83
168,Saskylakh,RU,2022-02-01 18:58:50,71.9167,114.0833,-28.21,100,52,2.06
169,Terrak,NO,2022-02-01 18:58:50,65.087,12.3715,22.87,70,98,13.15
170,Sorland,NO,2022-02-01 18:58:51,67.667,12.6934,30.06,55,100,22.39
171,Belmonte,BR,2022-02-01 18:58:51,-15.8631,-38.8828,86.5,67,2,10.51
172,Sebeta,ET,2022-02-01 18:58:52,8.9167,38.6167,58.24,38,83,6.33
173,Ferndale,US,2022-02-01 18:58:52,42.4606,-83.1347,45.46,54,100,1.01
174,Sherbakul,RU,2022-02-01 18:59:52,54.6316,72.3963,11.82,97,93,4.9
175,Haines Junction,CA,2022-02-01 18:59:53,60.7522,-137.5108,-41.85,74,97,0.0
176,Maragogi,BR,2022-02-01 18:59:53,-9.0122,-35.2225,83.26,67,16,9.17
177,Zeya,RU,2022-02-01 18:59:54,53.75,127.2667,-6.79,85,13,5.48
178,Derzhavinsk,KZ,2022-02-01 18:59:54,51.1,66.3167,10.29,90,100,5.82
179,Mirnyy,RU,2022-02-01 18:59:55,62.5353,113.9611,-28.77,74,21,4.0
180,Airai,TL,2022-02-01 18:59:55,-8.9266,125.4092,59.61,84,89,3.53
181,Sao Joao Da Barra,BR,2022-02-01 18:55:28,-21.6403,-41.0511,93.29,78,95,6.02
182,Oum Hadjer,TD,2022-02-01 18:59:56,13.2954,19.6966,73.36,15,0,8.3
183,Devils Lake,US,2022-02-01 18:59:56,48.1128,-98.8651,3.31,84,100,20.0
184,Chokurdakh,RU,2022-02-01 18:59:57,70.6333,147.9167,-21.51,98,100,1.59
