City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Poya,NC,-21.35,165.15,85.35,69,68,6.69,broken clouds
154,Zhigansk,RU,66.7697,123.3711,-25.56,99,100,5.95,overcast clouds
155,Puerto Ayora,EC,-0.7393,-90.3518,75.54,91,64,4.0,broken clouds
156,Arraial Do Cabo,BR,-22.9661,-42.0278,76.78,85,70,27.45,broken clouds
157,Kiama,AU,-34.6833,150.8667,71.38,71,84,16.6,broken clouds
158,Kavaratti,IN,10.5669,72.642,78.01,61,11,7.0,few clouds
159,Zhangye,CN,38.9342,100.4517,18.03,70,100,0.78,overcast clouds
160,El Viejo,NI,12.6633,-87.1672,81.36,54,78,2.57,broken clouds
161,Tepeapulco,MX,19.7833,-98.55,60.82,50,34,2.33,scattered clouds
162,Maragogi,BR,-9.0122,-35.2225,78.3,68,89,7.49,overcast clouds
163,Kamenka,RU,51.3223,42.7678,-8.34,100,81,5.26,broken clouds
164,Hay River,CA,60.8156,-115.7999,-9.42,77,40,3.44,scattered clouds
165,Vangaindrano,MG,-23.35,47.6,77.05,93,100,26.62,moderate rain
166,Novoagansk,RU,61.9449,76.6625,7.97,95,100,5.01,overcast clouds
167,Vanimo,PG,-2.6741,141.3028,82.94,74,100,2.71,overcast clouds
168,Prince Rupert,CA,54.3161,-130.3201,46.49,53,100,18.41,overcast clouds
169,Hami,CN,42.8,93.45,26.31,28,100,9.17,overcast clouds
170,Bredasdorp,ZA,-34.5322,20.0403,68.29,77,67,12.66,broken clouds
171,Sajanan,TN,37.0573,9.2426,50.27,91,99,6.49,overcast clouds
172,Changping,CN,40.2186,116.2197,26.24,45,28,6.53,scattered clouds
173,Raudeberg,NO,61.9875,5.1352,36.19,90,100,11.01,light snow
174,Auki,SB,-8.7676,160.7034,85.64,70,97,8.39,overcast clouds
175,Kemin,KG,42.7846,75.6892,24.22,48,35,12.66,scattered clouds
176,Omboue,GA,-1.5746,9.2618,76.66,87,10,6.24,clear sky
177,Le Port,RE,-20.9373,55.2919,78.8,79,100,16.55,light rain
178,Shirokiy,RU,49.758,129.523,-17.37,100,95,2.59,overcast clouds
179,Ambilobe,MG,-13.2,49.05,72.68,95,85,2.84,light rain
180,Havre-Saint-Pierre,CA,50.2334,-63.5986,7.39,65,0,9.22,clear sky
181,Ponta Delgada,PT,37.7333,-25.6667,60.49,82,20,10.36,few clouds
182,Bilibino,RU,68.0546,166.4372,-13.61,87,11,4.5,few clouds
183,Sulangan,PH,11.1373,123.7228,80.33,70,59,17.63,broken clouds
184,Sibolga,ID,1.7427,98.7792,74.97,90,100,2.33,overcast clouds
185,Kavieng,PG,-2.5744,150.7967,83.64,73,86,7.43,overcast clouds
186,Tarko-Sale,RU,64.9225,77.785,-18.49,100,97,4.09,overcast clouds
187,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,52,0,2.3,clear sky
188,Khilok,RU,51.3674,110.4676,-4.31,97,75,3.27,broken clouds
189,Aksu,CN,41.1231,80.2644,22.5,76,90,4.74,overcast clouds
190,Beberibe,BR,-4.1797,-38.1306,82.44,78,6,8.12,clear sky
191,Alofi,NU,-19.0595,-169.9187,76.89,94,98,3.44,overcast clouds
192,Pemba,MZ,-12.974,40.5178,76.87,84,88,7.25,overcast clouds
193,San Quintin,MX,30.4833,-115.95,61.32,32,1,5.95,clear sky
194,Kaliua,TZ,-5.0606,31.7936,64.09,97,100,3.29,light rain
195,Katsuura,JP,35.1333,140.3,44.19,46,5,13.24,clear sky
196,Nema,RU,57.5067,50.5011,17.19,98,100,4.18,overcast clouds
197,Wanning,CN,18.8003,110.3967,66.11,85,99,9.53,overcast clouds
198,Chuguyevka,RU,44.1653,133.8633,-0.6,95,100,3.04,overcast clouds
199,Namatanai,PG,-3.6667,152.4333,85.46,65,96,11.23,overcast clouds
200,Ketchikan,US,55.3422,-131.6461,46.38,65,100,16.11,overcast clouds
201,Aloleng,PH,16.1307,119.7824,78.55,64,46,14.27,scattered clouds
202,Portland,US,45.5234,-122.6762,53.58,74,75,1.01,broken clouds
203,Maceio,BR,-9.6658,-35.7353,76.44,83,0,3.44,clear sky
204,Cherskiy,RU,68.75,161.3,-30.57,98,21,1.25,few clouds
205,Chara,RU,56.9064,118.2631,-19.26,82,9,1.16,clear sky
206,Port Elizabeth,ZA,-33.918,25.5701,69.1,94,40,20.71,scattered clouds
207,Tiksi,RU,71.6872,128.8694,-22.04,98,97,6.46,overcast clouds
208,Puerto Carreno,CO,6.189,-67.4859,88.39,38,78,4.36,broken clouds
209,Guerrero Negro,MX,27.9769,-114.0611,66.56,29,0,12.41,clear sky
210,Strelka,RU,58.0728,93.0344,17.71,95,100,6.67,overcast clouds
211,Kirakira,SB,-10.4544,161.9205,85.06,74,89,7.83,overcast clouds
212,Boa Vista,BR,2.8197,-60.6733,84.18,61,40,4.61,scattered clouds
213,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,75.94,85,90,2.71,overcast clouds
214,Faanui,PF,-16.4833,-151.75,81.16,73,14,20.58,few clouds
215,Tungor,RU,53.3808,142.9564,2.98,91,100,20.13,overcast clouds
216,Ewo,CG,-0.8725,14.8206,78.85,58,82,2.82,broken clouds
217,Maloy,NO,61.9353,5.1136,36.73,90,100,11.01,overcast clouds
218,Dikson,RU,73.5069,80.5464,-19.97,100,99,2.86,overcast clouds
219,Pacific Grove,US,36.6177,-121.9166,66.58,56,0,1.99,clear sky
220,Tessalit,ML,20.1986,1.0114,61.34,15,1,10.94,clear sky
221,Norman Wells,CA,65.282,-126.8329,-18.36,63,75,0.0,broken clouds
222,Akdepe,TM,42.0551,59.3788,37.49,79,100,20.54,overcast clouds
223,Amapa,BR,1.0,-52.0,71.64,99,91,2.64,overcast clouds
224,Gorontalo,ID,0.5412,123.0595,78.8,84,91,2.73,overcast clouds
225,San Cristobal,VE,7.7669,-72.225,71.78,90,87,1.59,overcast clouds
226,Platanos,GR,37.6667,21.6167,52.09,82,78,5.59,broken clouds
227,Saint-Philippe,RE,-21.3585,55.7679,78.39,83,100,19.08,light rain
228,Pitimbu,BR,-7.4706,-34.8086,81.19,70,68,8.88,broken clouds
229,Hualmay,PE,-11.0964,-77.6139,70.83,81,35,8.9,scattered clouds
230,Balabac,PH,7.9868,117.0645,80.47,82,45,22.84,scattered clouds
231,Yulara,AU,-25.2406,130.9889,82.24,26,0,12.66,clear sky
232,Peniche,PT,39.3558,-9.3811,53.74,84,0,11.95,clear sky
233,Khorramshahr,IR,30.4397,48.1664,51.76,71,0,6.91,clear sky
234,Tasiilaq,GL,65.6145,-37.6368,17.76,59,98,8.68,overcast clouds
235,Muros,ES,42.7762,-9.0603,48.24,77,3,10.67,clear sky
236,Torbay,CA,47.6666,-52.7314,47.57,96,100,18.41,moderate rain
237,Cockburn Town,TC,21.4612,-71.1419,75.16,57,40,11.5,scattered clouds
238,Keffi,NG,8.8486,7.8736,73.78,19,0,4.43,clear sky
239,Lebu,CL,-37.6167,-73.65,59.47,80,0,19.37,clear sky
240,Rock Sound,BS,24.9,-76.2,74.23,76,3,14.2,clear sky
241,Talcahuano,CL,-36.7167,-73.1167,62.02,73,0,12.66,clear sky
242,Bay-Khaak,RU,51.1667,94.5,-22.14,93,66,3.58,broken clouds
243,Vanavara,RU,60.34,102.2797,15.26,91,100,10.65,overcast clouds
244,Quatre Cocos,MU,-20.2078,57.7625,79.09,81,100,16.58,light rain
245,Kankaanpaa,FI,61.8,22.4167,23.76,96,49,5.93,scattered clouds
246,Mount Gambier,AU,-37.8333,140.7667,76.91,38,75,11.5,broken clouds
247,Rocky Mountain House,CA,52.3668,-114.9188,41.11,36,58,11.5,broken clouds
248,Brae,GB,60.3964,-1.353,37.31,56,99,35.05,overcast clouds
249,Daru,PG,-9.0763,143.2092,83.68,72,94,11.7,overcast clouds
250,Khani,GE,41.9563,42.9566,24.37,95,100,3.6,light snow
251,Ilulissat,GL,69.2167,-51.1,-3.59,79,100,6.53,overcast clouds
252,Mayo,US,38.8876,-76.5119,30.24,53,0,5.01,clear sky
253,Imbituba,BR,-28.24,-48.6703,76.89,92,94,2.59,overcast clouds
254,Caravelas,BR,-17.7125,-39.2481,77.41,83,83,6.78,broken clouds
255,Shiraz,IR,29.6036,52.5388,38.64,60,0,4.61,clear sky
256,Cidreira,BR,-30.1811,-50.2056,74.16,91,100,4.18,overcast clouds
257,Edd,ER,13.9297,41.6925,76.26,75,61,15.39,broken clouds
258,Aksha,RU,50.2814,113.2867,-6.23,99,24,4.21,few clouds
