City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
271,Grand-Lahou,CI,79.02,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
272,Malanje,AO,62.22,overcast clouds,-9.5402,16.340999999999998,Hotel Ginga
273,Kattivakkam,IN,79.07,overcast clouds,13.2167,80.3167,Euronova Freezer
274,Alexandria,EG,58.62,scattered clouds,31.2156,29.9553,Royal Crown Hotel
277,Ballina,AU,75.16,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
281,Makakilo City,US,82.15,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
283,Kutum,SD,51.33,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
287,Corinto,GR,52.68,overcast clouds,37.9407,22.9573,Ephira Hotel
293,Aron,IN,50.25,clear sky,24.3833,77.4167,Shri Ram marriage garden aron
294,Monrovia,LR,79.56,clear sky,6.3005,-10.7969,Sunset Inn
295,Iquitos,PE,75.24,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
297,Mucuri,BR,77.16,broken clouds,-18.0864,-39.5508,La Bodeguita Pousada
298,Montanha,BR,72.39,broken clouds,-18.1269,-40.3633,Hotel Boldrini
299,Awbari,LY,52.65,clear sky,26.5921,12.7805,فندق أوباري
300,Ancud,CL,62.22,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
302,Bengkulu,ID,73.56,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
305,Kuching,MY,77.22,few clouds,1.55,110.3333,The Ranee Boutique Suites
309,Mlonggo,ID,78.69,overcast clouds,-6.5333,110.7,Asia Metal Art
319,Taltal,CL,68.43,few clouds,-25.4,-70.4833,Residencial Karime
320,Lorengau,PG,84.16,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
321,Nhulunbuy,AU,84.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
325,Loandjili,CG,77.11,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
326,Bali,ID,83.37,clear sky,-8.5,115.0,Pondok Pitaya
329,Inongo,CD,74.37,overcast clouds,-1.95,18.2667,Hotel Du Lac
330,Elur,IN,71.56,mist,10.0667,76.2833,Beith Hotel and Convention Center
334,Nishihara,JP,58.68,scattered clouds,26.1842,127.7558,Minshuku Agaihama
335,Porto Novo,BJ,82.22,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
336,Kedougou,SN,81.18,clear sky,12.5579,-12.1743,Relais de Kédougou
338,Concordia,AR,72.79,clear sky,-31.393,-58.0209,Palmar Hotel Casino
343,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
344,Naze,JP,50.92,overcast clouds,28.3667,129.4833,Shishime Hotel
345,Kalmunai,LK,74.12,overcast clouds,7.4167,81.8167,VS Villa
346,Isangel,VU,82.33,overcast clouds,-19.55,169.2667,Tanna Lodge
349,Aden,YE,77.22,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
351,Bidar,IN,60.31,few clouds,17.9,77.55,Kaveri Hotel
354,Esperance,AU,76.84,clear sky,-33.8667,121.9,Hospitality Esperance
355,Sao Filipe,CV,73.09,clear sky,14.8961,-24.4956,Hotel Xaguate
356,Akyab,MM,65.12,overcast clouds,20.15,92.9,Hotel Memory
358,Impfondo,CG,68.5,broken clouds,1.6381,18.0667,Auberge La Place de Jules
361,Christchurch,NZ,59.95,overcast clouds,-43.5333,172.6333,The George
363,Banjar,ID,84.06,clear sky,-8.19,114.9675,The Hamsa Resort
364,Ngaoundere,CM,59.63,clear sky,7.3167,13.5833,Hotel Mentong Palace
365,Padang,ID,71.65,overcast clouds,-0.9492,100.3543,Mercure Padang
366,Samarai,PG,84.72,overcast clouds,-10.6167,150.6667,Nuli Sapi
367,Del Rio,US,55.51,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
369,Gambela,ET,76.68,clear sky,8.25,34.5833,Solomon Debebe Hotel
373,Bassar,TG,80.6,clear sky,9.25,0.7833,Hôtel KYRIAD
375,Bima,ID,83.14,scattered clouds,-8.4667,118.7167,Lambitu Hotel
377,Alice Springs,AU,76.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
378,Brownsville,US,51.75,clear sky,25.9018,-97.4975,University Inn & Suites
379,Knysna,ZA,62.98,clear sky,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
386,Mecca,SA,60.76,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
387,Kawalu,ID,78.21,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
389,Atar,MR,70.21,clear sky,20.5169,-13.0499,Oumou Elghoura
391,Eyl,SO,70.95,clear sky,7.9803,49.8164,Amiin Hotel
393,Rawson,AR,61.59,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
396,Rocha,UY,63.28,few clouds,-34.4833,-54.3333,Hotel Arrarte
405,Hambantota,LK,71.94,scattered clouds,6.1241,81.1185,Bungalow 63
406,Saint-Georges,GD,76.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
407,Potam,MX,72.19,clear sky,27.6,-110.3833,Ejido La Pimienta
408,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
409,Galesong,ID,78.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
411,Allende,MX,51.67,clear sky,25.2833,-100.0167,Ecovergel Hotel Boutique
413,George Town,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
417,Bunia,CD,64.65,overcast clouds,1.5667,30.25,Gold Star International Hotel
421,Zihuatanejo,MX,84.29,clear sky,17.6333,-101.55,La Casa Que Canta
422,Sehithwa,BW,70.74,light rain,-20.4667,22.7167,MONLEK GUEST HOUSE
423,Camacha,PT,63.54,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
425,Ahipara,NZ,77.43,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
428,San Ignacio,BZ,68.14,overcast clouds,17.1561,-89.0714,Rainforest Haven Inn
429,Lazaro Cardenas,MX,75.85,clear sky,17.9583,-102.2,quinta antigua
431,Fomboni,KM,82.62,light rain,-12.28,43.7425,Auberge les abou
435,Arlit,NE,60.73,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
436,Vila Franca Do Campo,PT,60.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
440,Marapanim,BR,74.86,overcast clouds,-0.7175,-47.6997,Ecomangue Pousada
441,Fort Abbas,PK,54.43,clear sky,29.1925,72.8536,AsAd's House
442,Sai Buri,TH,74.91,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
